plug type,country
F,Moldova
F,Mongolia
F,Montenegro
F,Mozambique
F,Myanmar
F,Netherlands
F,Norway
F,Portugal
F,Romania
F,Russia
F,Rwanda
F,San Marino
F,São Tomé and Príncipe
F,Serbia
F,Sint Eustatius
F,Slovenia
F,Spain
F,Suriname
F,Sweden
F,Syria
F,Tajikistan
F,Thailand
F,Turkey
F,Turkmenistan
F,Ukraine
F,Uruguay
F,Uzbekistan
F,Vatican City
F,Vietnam
G,Abu Dhabi
G,Bahrain
G,Bangladesh
G,Botswana
G,Brunei
G,Cambodia
G,Cyprus
G,Dominica
G,Dubai
G,England
G,Ethiopia
G,Falkland Islands
G,Gambia
G,Gibraltar
G,Great Britain
G,Grenada
G,Guernsey
G,Ghana
G,Guyana
G,Hong Kong
G,Iraq
G,Ireland
G,Isle of Man
G,Jersey
G,Jordan
G,Kenya
G,Kuwait
G,Macau
G,Malawi
G,Malaysia
G,Maldives
G,Malta
G,Mauritius
G,Myanmar
G,Nigeria
G,North Cyprus
G,Northern Ireland
G,Oman
G,Qatar
G,Rwanda
G,Saint Helena
G,Saint Kitts and Nevis
G,Saint Lucia
G,Saint Vincent and the Grenadines
G,Saudi Arabia
G,Scotland
G,Seychelles
G,Sierra Leone
G,Singapore
G,Somalia
G,Somaliland
G,South Sudan
G,Sri Lanka
G,Sudan
G,Tanzania
G,Uganda
G,United Arab Emirates
G,United Kingdom
G,Wales
G,Yemen
G,Zambia
G,Zimbabwe
H,Gaza Strip
H,Israel
H,Palestine
H,West Bank
I,Argentina
I,American Samoa
I,Australia
I,China
I,Christmas Island
I,Cocos (Keeling) Islands
I,Cook Islands
I,East Timor
I,Timor-Leste
I,Fiji
I,Kiribati
I,Myanmar
I,Nauru
I,New Zealand
I,Niue
I,Norfolk Island
I,Papua New Guinea
I,Pitcairn Islands
I,Samoa
I,Solomon Islands
I,Tajikistan
I,Tonga
I,Tuvalu
I,Uruguay
I,Uzbekistan
I,Vanuatu
J,Switzerland
J,Liechtenstein
J,Jordan
J,Madagascar
J,Maldives
J,Rwanda
K,Denmark
K,Faroe Islands
K,Greenland
K,Bangladesh
K,Guinea
K,Madagascar
K,Maldives
K,Nepal
K,Saint Vincent and the Grenadines
K,Senegal
L,Chile
L,Cuba
L,Eritrea
L,Italy
L,Libya
L,Maldives
L,Nepal
L,San Marino
L,Syria
L,Uruguay
L,Vatican City
M,Bangladesh
M,Bhutan
M,Eswatini
M,India
M,Lesotho
M,Mozambique
M,Myanmar
M,Namibia
M,Nepal
M,South Africa
N,Brazil
N,Eswatini
N,Mozambique
N,Namibia
N,South Africa
O,Thailand 
